content,score
very bad 😞,1
the worst game I have ever played. this game is the worst game .it contains a lot of ads,1
"so far I really like this app, I can deeply plan without one of those task limits and there are a ton of resources however, and I can't get it to pop up again, I wanted to make this review because of some wording that caught my eye, the app offered me to check out premium and the decline said something along the line of ""I'm just gonna give up"" as someone who struggles with mental health, that is sickening to see you try and guilt trip people to pay for premium with that wording.",3
I continue to request that I don't receive regular text.Could you stop why couldn't you stop,1
this is the worst not so bad but yeah the worst,2
"I wanted to use the app, but it was going to cost me money and I dont want to do that and makes me feel more stressed maybe they could get ride of the money cost",3
this app is very bad 👎,1
fraud,1
Very cluttered stressful interface. hard to tell whats paid until after you try to do something,1
"App is okay - you set a reminder, it sends you a reminder. Look at the reviews. The average is apparently 4.8 but nearly all recent reviews are 1 or 2 stars. I regularly use trials and cancel them if not wanted. Went in to look at this one and I didn't even have an account. No cancellation options. Auto generated responses from customer services so I've paid £40 I didn't want to. I know that's my own stupid mistake but I've never known an app so difficult before. I can't recommend sadly.",1
Way too damn expensive for fake profiles and bots Don't waste your time. don't install it,1
its not free of cost its only requir money not your trust,1
"Can't Cancel Account -Tricked/Fraud I'm not sure what else to say. I tried the app. I couldn't use it. I didn't understand it. I tried to cancel. One year later I am charged an annual fee. I am.told to go to PayPal through Google Pay. They say the have no such account, but I'm still wbing charged. I've called. Nothing. Why even bother? Such a a scam. So unless I cancel my PayPal, I won't ever get rid of this charge.",1
Worst app ever.it is a scam to misguided you and deduct your money . There is no option for your money back.Not any support and main Point they never inform you before your payment deduction. They only want to make you fool. There is no subscription only fake promises and way to cheat you. I want my money back. You take my money without prior information. You gave no option to cancel it. Big scammer,1
"I subscribed for one month and was charged again without my consent. I requested a refund the next day, but customer service kept sending scripted replies about a policy I was never informed of. They didn’t refund the full amount, which was more than double my original payment. The app itself wasn’t helpful and only added more tasks. Very disappointing and feels misleading.",1
I don't recommend that app because it's not a perfect app for change your routine,1
no notification before taking subscription. Just blocked them on revolut as I wasn't sent reminder that amount was being taken from designated account.,1
